year,total_us,cement_ready_mix,cement_concrete_products,cement_masonry,cement_other,steel,aluminum,copper,lime,sand_and_gravel_construction,stone_crushed,plywood_veneer,wood_panel_products,asphalt_concrete,asphalt_binder,flat_glass
2021,2493561136.7046723,71622064.62877283,12906787.180090496,4258834.118911366,0.0,35002139.6016413,686038.9484704925,936654.6678339288,2095811.4455229482,1003846008.9261936,1635242316.2803252,6282111.700379206,9705234.554344622,384229447.2019998,20442058.45090714,8339692.828146898
2022,2426589818.9543605,69316630.72197641,12491361.023639742,4121750.0661428296,0.0,36026014.13806338,658848.0484169814,942265.8692142259,2147473.314518579,956860146.450202,1617752997.8296647,5610460.073403403,9099549.787274385,371140763.71466994,19851519.47718231,8090086.252051072
2023,2180776615.1339707,64914945.94958163,11698183.8122032,3860016.984936478,0.0,32357644.777402382,538009.4707058385,851696.6537709151,2064219.4777310195,872332436.725472,1530925634.8696454,5648613.734142843,8431113.842806445,341487135.44976,18227182.459658373,7481382.58983201
2024,2285077180.0590873,66389732.05705478,11963951.861421209,3947714.162609823,0.0,32653830.454515625,635441.0801758528,940860.2675465777,2083872.2791742713,941438711.7254682,1531094661.8777306,6257128.594922349,9352182.973994156,353860806.95779026,18980883.925719667,7706316.455600997
2025,2367025764.036685,68616778.89257072,12365277.814052813,4080143.292334924,0.0,35248682.628385484,683643.8431563047,946469.2172092368,2075118.3684697377,969199543.6299268,1564470687.8982255,6592278.120106095,10128708.8840758,363450905.4684888,19570933.53514128,7962699.531592198
2026,2508544912.554438,70888412.8968958,12774636.721819237,4215221.34786551,0.0,34572475.369278595,712501.3723932964,953919.2119395788,2017980.5843582635,1034180983.899131,1656627315.0506742,6787104.941305699,10408715.612590283,387295904.7366499,21083485.515544403,8332316.645746936
2027,2523463592.1793985,70838902.02334431,12765722.912189556,4212280.934056477,0.0,30123983.28770599,719878.3526195528,973077.6385844513,2106471.3717902973,1020507906.5535831,1693844233.6952934,6757605.975054869,10104902.312658276,389666209.419149,21261259.72646305,8355938.554805949
2028,2300051191.4751325,66871949.15451659,12050876.255263405,3976401.0488330303,0.0,32538065.021848343,665389.727146695,916509.7180674898,2064008.9111958644,889104727.766032,1620850309.719926,5968682.37177606,9199298.77947308,354634435.3555759,19256022.905861624,7807240.804432243
2029,2158545062.20234,64314877.39061005,11590091.288633948,3824355.943315503,0.0,33355521.42406995,653288.3148223641,925233.1873741887,2068024.9691074674,831798766.901433,1550791470.867117,6051155.477504232,8994679.735709053,333549320.36086226,18048215.04203397,7454447.928868151
2030,1987240631.414509,61989165.22139634,11171006.369313572,3686062.875686287,0.0,30247916.092959348,627397.7481659298,810180.0477211039,1956712.6469212545,769907151.0142004,1495822731.458591,6199967.899044669,8635022.004006667,313916407.4554072,17048737.349302992,7071680.253106822
2031,2098912656.2486196,64770056.94833523,11672132.652730498,3851418.351258386,0.0,30071242.938571457,710140.8931765239,904801.6767872971,2008426.062017725,825086695.0668201,1560714036.3558648,7200770.841545761,9947341.821655933,331786614.2899453,18221178.753810555,7446769.879250506
2032,2292461659.213042,67940371.7543681,12243423.872593628,4039927.403051329,0.0,32401710.321971085,713112.9218971547,925684.6614015265,2037372.0228139285,919530382.3327658,1647537400.0669692,7203157.466395807,10424025.506388592,359123962.24036765,19831165.483222734,7967247.39620604
2033,2336954058.3774643,68539584.50469038,12351398.118814928,4075548.61940868,0.0,30178956.260090478,718141.9680279322,921139.0735705678,1872983.3220818033,961624603.942575,1686582970.1029253,7461923.383852206,10707500.04655775,369672047.86809325,20412713.24018053,8123964.444687569
2034,2404003491.597542,70014339.8846082,12617156.200577512,4163243.0487241,0.0,30009721.72599663,721185.5874642151,905592.3387786846,1936195.3157938097,1023366252.234051,1704826587.502454,7910847.976409075,10938337.7839121,382818479.8887227,21118350.296856478,8315025.708771563
2035,2553004763.6064577,71115760.75217116,12815646.547833422,4228737.23759318,0.0,32075546.21261042,759343.812908775,958674.0974116377,2030393.8488996273,1040735975.225646,1843638583.230641,8407576.597446717,11108307.1500532,404723226.3174167,22591160.950738665,8588226.307165325
2036,2605161555.691497,71185610.1834515,12828244.706142832,4232893.766357137,0.0,30858364.958692994,747493.3238353404,1001055.6472427546,2070950.9443720279,1066091100.6434668,1878476562.6273804,8367340.105008888,11193720.154331213,414427955.1237602,23253614.792128664,8657354.978730941
2037,2567939717.28762,70979895.62054734,12791188.817136755,4220663.048173622,0.0,34984282.98567883,735491.6436633875,1070342.4956716252,2128363.743518766,1054143753.8056262,1869918170.1901944,7703729.066311005,11137244.77271313,410822981.818763,23194908.36928297,8599082.532404277
2038,2597780331.3487825,70397417.09958191,12686234.101597829,4186031.785302698,0.0,35408358.80827802,790176.9690663596,1084704.4717953303,2152265.2318280544,1070604311.3401212,1880062901.355593,7586986.169689378,10754819.521047456,415403768.36863625,23514389.597758856,8585932.813566342
2039,2404133684.0471525,65779217.21680315,11854023.528912311,3911424.99306259,0.0,32912870.373466156,767122.4489433074,1012180.1394638132,2103425.2929056105,959627017.8568096,1788289378.105897,7098983.078238737,10599303.72537381,382215400.0754452,21531554.141686708,8016083.666609207
2040,2553125191.622347,67545639.07589686,12172340.936959332,4016464.030735937,0.0,34938416.86889548,829126.8977298173,1061395.1681728153,2087004.198939423,1052897397.2120112,1828192262.2496047,7530253.084836013,10935126.818525258,404811936.8369765,22903625.83811648,8320742.16264433
2041,2627633964.6549053,68754950.70468481,12390266.430279942,4088375.1352476897,0.0,31524009.37479774,915657.9789595302,1089661.5485995535,2133045.8819237845,1080449786.736956,1884969046.090152,7455916.744118476,11308123.714580605,417593513.2312711,23701426.58295324,8496690.552390834
2042,2769208444.9637437,70784197.33592178,12755942.538389197,4209041.769531744,0.0,35547939.018611036,913037.5164128571,1105632.2569070375,2155270.889506035,1098230979.5951412,1964514637.3706944,7668026.403402341,11637271.228978047,431870298.7002635,24636682.69560762,8814573.269866783
2043,2821391275.538704,72096189.74648014,12992392.169647949,4287055.377722295,0.0,36854155.92535135,878825.5749980947,1116369.0858681567,2154814.226444156,1105635800.212571,1990572445.985804,8050758.148332559,11431393.108140582,435949784.136978,25018658.17348544,8910497.237530539
2044,2895851226.4026585,74450568.27226138,13416668.726194087,4427053.901038408,0.0,38089640.85829588,937183.6805187074,1184035.7303859803,2171858.1487091137,1106679846.761719,2054725317.36206,8234411.636908956,12040769.283001227,446154255.0317563,25628420.280726664,9154852.417461628
2045,3000199243.5110774,77319187.89254357,13933609.805147374,4597631.23976335,0.0,40662883.71122938,973165.2191216437,1192737.750001543,2200004.2074011425,1143312731.601443,2135499836.9455996,7894927.657814629,12172002.03940921,464479602.5173247,26780099.673103176,9504594.653246002
2046,3171510229.4076633,79119841.57084635,14258087.92936547,4704703.698542183,0.0,41984463.9664047,990785.2840608036,1209120.0095123001,2251004.9118379443,1224126978.2535155,2204829952.894784,7739548.777186705,12525484.825430432,489057744.0740128,28194633.950588256,9842939.308741976
2047,3223549905.145896,79266266.13740698,14284462.751836585,4713411.052936536,0.0,39389605.41286523,987778.9845127667,1158257.758096561,2167094.105970838,1236092084.890184,2196417657.100332,7866922.059701874,12782776.69120662,489563264.9451999,28147157.56181353,9892912.365797335
2048,3238494606.203426,80369843.4134676,14483338.836737476,4779033.806414388,0.0,40138346.26514877,1007077.607932666,1216369.8132679376,2186094.1071910346,1256694270.21977,2211287906.292646,8246136.07395434,12915569.365248237,495510596.0994992,28557423.614773903,9996425.436705844
2049,3245979970.2913685,82067600.71605903,14789289.18780828,4879988.26458035,0.0,39516870.8591717,924478.7451737376,1140596.0899343921,2176691.538666082,1268753142.585721,2256626022.80637,8121239.428306869,12571373.164422153,503841711.8358959,29106395.310420576,10119844.336127143
2050,3193894747.0960174,81798167.76914743,14740749.92498692,4863967.828036254,0.0,40409378.428709604,948862.1896865006,1156914.7987002712,2118909.2128508356,1280726428.2804115,2224249054.3520217,8468077.105908083,12685045.83415156,500656381.2093652,29034640.061270967,10053806.680084445
