,order,seasonal_order,RMSE,seasonal_period
total_us,"(0, 1, 1)","(1, 1, 0, 24)",2855684488.993674,24
cement_ready_mix,"(2, 0, 0)","(1, 1, 1, 24)",70601498.41702925,24
cement_concrete_products,"(2, 0, 0)","(1, 1, 1, 24)",12722875.309695616,24
cement_masonry,"(2, 0, 0)","(1, 1, 1, 24)",4198145.643590264,24
cement_other,"(2, 0, 0)","(1, 1, 1, 24)",18898992.604217812,24
steel,"(0, 1, 1)","(1, 1, 1, 24)",54319323.93641084,24
aluminum,"(1, 1, 0)","(1, 1, 1, 24)",3758459.252980179,24
copper,"(0, 1, 0)","(1, 1, 1, 24)",1085948.632770619,24
lime,"(1, 0, 0)","(0, 1, 1, 24)",8767326.514572838,24
sand_and_gravel_construction,"(2, 0, 0)","(1, 1, 1, 24)",1139604628.7453506,24
stone_crushed,"(2, 1, 1)","(1, 1, 1, 24)",1916411842.8520575,24
total_forestry,"(0, 1, 2)","(0, 1, 1, 24)",28916721.93455676,24
lumber,"(1, 1, 0)","(0, 1, 1, 24)",31147977.070600618,24
plywood_veneer,"(2, 1, 0)","(1, 1, 1, 24)",4895177.556723386,24
wood_panel_products,"(0, 1, 0)","(2, 1, 1, 24)",10488260.342842352,24
asphalt_concrete,"(2, 0, 0)","(1, 1, 1, 24)",443655702.3998023,24
asphalt_binder,"(2, 0, 0)","(1, 1, 1, 24)",16444319.966172487,24
flat_glass,"(2, 0, 0)","(1, 1, 1, 24)",8466153.806511467,24
