,RMSE
total_us,2855684488.993674
cement_ready_mix,70601498.41702925
cement_concrete_products,12722875.309695616
cement_masonry,4198145.643590264
cement_other,18898992.604217812
steel,54319323.93641084
aluminum,3758459.252980179
copper,1085948.632770619
lime,8767326.514572838
sand_and_gravel_construction,1139604628.7453506
stone_crushed,1916411842.8520575
total_forestry,28916721.93455676
lumber,31147977.070600618
plywood_veneer,4895177.556723386
wood_panel_products,10488260.342842352
asphalt_concrete,443655702.3998023
asphalt_binder,16444319.966172487
flat_glass,8466153.806511467
