mat_type,gwp_factor
Acoustic ceiling tile aluminum,5.053246011592497
Acoustic ceiling tile fiber,1.228489592005347
Acoustic ceiling tile steel,2.5368517250989218
Acoustic ceilings - other,1.1460193602291888
Adhesives and sealants,1.8162883650445945
Air and vapor barriers,1.9104070079034514
Aluminum - other,5.660874963933153
Aluminum composite panel ACM,8.285928815445892
Aluminum door,5.491633889774448
Aluminum door frame,8.058462386793524
Aluminum framed glass entrances,7.1137545249277885
Aluminum framed window,9.013348989494922
Aluminum sheet,5.844537168012294
Aluminum storefront or curtain wall,9.012866114565217
Applied fireproofing - other,0.6082302082405989
Architectural fiber cement panel,0.8700411486301574
Asphalt shingles,0.5466910917349653
Brass,1.4731394326693659
Brick clay,0.25430872248856484
Built up roofing,0.9231834673290532
CMU,0.12769621151194996
Carpet,4.30025389908584
Cast bronze,6.689207469915343
Ceramic tile,0.2506271442841589
Cladding - other,3.6808026705410466
Closed cell spray polyurethane foam,3.8953832028249216
Coatings - other,10.983376291941026
Cold formed steel framing,2.222664727521855
Concrete - other,0.16030192589887748
Copper sheet,1.5246168330263896
Cross laminated timber CLT,0.33489082924166325
Decking,2.4837900354566993
Doors and frames - other,5.820186354051013
EPDM,4.942133304933244
Expanded polystyrene EPS,3.131959931001556
Extruded polystyrene XPS,42.645830090213785
Extrusion,8.249873301495423
Fasteners,5.170681277185724
Fiberglass blanket,2.069044824245058
Fiberglass door,1.62975604054796
Fiberglass framed window,2.2659104885890717
Flooring and tile - other,1.0715380339395881
GFRC general,0.23004566735683313
GFRC panel,0.9238210926634626
Glass mat gypsum board,0.4450766341985489
Glazing - other,2.3565500303513303
Glue laminated timber GLT,0.35180618661845037
Gypsum board,0.21387071522555812
HDPE,2.5319272773356163
Hardwood,0.32856686141071684
Heavy timber framing,0.17238562044292102
Hollow structural sections HSS,2.1639360745936895
Hot-rolled sections,1.0788764027519417
Insulated glass unit IGU,1.3635454389349169
Insulated metal panel IMP,3.9005594879927616
Insulation - other,4.722152989192098
Intumescent,2.617526007627106
Laminated strand lumber LSL,0.3598128349637353
Laminated veneer lumber LVL,0.4599544496589908
Loose-fill cellulose,0.7580539746280788
Masonry - other,0.1672481473713507
Medium density fiberboard MDF,0.6356073438988875
Mineral wool high density,1.481633691621051
Mineral wool low density,1.3134440891734898
Modified bitumen,0.9442203768176152
Mortar and grout,0.19680217628821497
Open web joists,1.3101232960960056
Oriented strand board OSB,0.34724984610901716
Other,1.690254277956205
PVC,4.747829311708732
Paint,2.2654840638729845
Parallel strand lumber PSL,0.3423928434908147
Plate,2.1352465802397265
Polyisocyanurate PIR,2.8978640378591405
Precast,0.20504317146391712
Raised access floor system,1.0997499772751231
Ready mix LW 3000,0.2596062866752762
Ready mix LW 4000,0.2648922173588568
Ready mix LW 5000,0.3203805679985087
Ready mix NW 2500,0.13851670986016498
Ready mix NW 3000,0.1322159675851168
Ready mix NW 4000,0.13682320226195255
Ready mix NW 5000,0.17892100526726984
Ready mix NW 6000,0.18393940807294118
Ready mix NW 8000,0.1911969811436486
Ready mix unknown,0.1328963426342111
Rebar and reinforcement,1.3751579855263587
Resilient flooring rubber,2.394864071436152
Resilient flooring vinyl,1.7770008641923745
Roll formed metal panel aluminum,4.1502244125673045
Roll formed metal panel steel,2.3666309194142734
Roofing and waterproofing - other,1.8266157778459826
Softwood framing,0.13850075866479306
Softwood plywood,0.2770749257124032
Spray applied cementitious,1.1669745007326893
Steel - other,2.1166336631697185
Steel door,2.9032965669243866
Steel door frame,2.687664898404213
Steel framed window,5.305825362050951
Steel sheet,2.068016513935978
Stone masonry,0.3127607679683327
Stone tile,0.8372900941856694
Stucco finish,0.47273295540553784
Suspension assembly,1.2086239016711884
Synthetic composites,3.037461148791716
TPO,4.215616536686346
Terracotta units,0.3679009308853132
Terrazzo slabs and tiles,2.3121878782117133
Vinyl framed window,3.590337971770168
Wall coverings,4.553019054363463
Windows and frames - other,4.217315340135666
Wood I joists,0.4091960340258305
Wood and composites - other,0.4457754416643837
Wood door frame,4.572647898624345
Wood framed window,9.384481757338499
Wood or composite door,0.5620587852505644
Zinc sheet,5.339183053132218
